Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Profit Ratio,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Type,Product,Profit,Sales,State,Total Expenses,Type
719,90,130,100,220,89,42.92%,1/1/2012 12:00:00 AM,777,130,Major Market,Central,24,1,Coffee,Amaretto,$94,219,Colorado,36,Regular
970,80,110,80,190,83,35.79%,1/1/2012 12:00:00 AM,623,107,Major Market,Central,27,1,Coffee,Colombian,$68,190,Colorado,39,Regular
970,100,140,110,240,95,43.16%,1/1/2012 12:00:00 AM,821,139,Major Market,Central,26,1,Coffee,Decaf Irish Cream,$101,234,Colorado,38,Decaf
303,30,50,30,80,44,30.00%,1/1/2012 12:00:00 AM,623,56,Major Market,Central,14,1,Tea,Green Tea,$30,100,Colorado,26,Regular
303,60,90,70,150,54,40.30%,1/1/2012 12:00:00 AM,456,80,Major Market,Central,15,1,Espresso,Caffe Mocha,$54,134,Colorado,26,Regular
720,80,130,80,210,72,29.44%,1/1/2012 12:00:00 AM,558,108,Major Market,Central,23,1,Espresso,Decaf Espresso,$53,180,Colorado,55,Decaf
970,140,160,110,300,170,29.03%,1/1/2012 12:00:00 AM,1091,171,Major Market,Central,47,1,Herbal Tea,Chamomile,$99,341,Colorado,72,Decaf
719,50,80,20,130,63,0.00%,1/1/2012 12:00:00 AM,435,87,Major Market,Central,57,1,Herbal Tea,Lemon,$0,150,Colorado,87,Decaf
970,50,70,40,120,60,23.57%,1/1/2012 12:00:00 AM,336,80,Major Market,Central,19,1,Herbal Tea,Mint,$33,140,Colorado,47,Decaf
719,40,70,20,110,58,13.08%,1/1/2012 12:00:00 AM,338,72,Major Market,Central,22,1,Tea,Darjeeling,$17,130,Colorado,55,Regular
303,50,70,40,120,64,25.71%,1/1/2012 12:00:00 AM,965,76,Major Market,Central,19,1,Tea,Earl Grey,$36,140,Colorado,40,Regular
217,150,210,130,360,144,32.17%,1/1/2012 12:00:00 AM,862,201,Major Market,Central,47,1,Coffee,Colombian,$111,345,Illinois,90,Regular
309,100,140,100,240,95,37.18%,1/1/2012 12:00:00 AM,608,139,Major Market,Central,30,1,Coffee,Decaf Irish Cream,$87,234,Illinois,52,Decaf
309,270,370,260,640,234,37.18%,1/1/2012 12:00:00 AM,1310,312,Major Market,Central,77,1,Espresso,Caffe Mocha,$203,546,Illinois,109,Regular
630,260,270,180,530,228,30.70%,1/1/2012 12:00:00 AM,1459,228,Major Market,Central,63,1,Espresso,Decaf Espresso,$140,456,Illinois,88,Decaf
312,70,120,100,190,89,43.38%,1/1/2012 12:00:00 AM,777,130,Major Market,Central,24,1,Herbal Tea,Chamomile,$95,219,Illinois,35,Decaf
630,70,90,60,160,83,35.79%,1/1/2012 12:00:00 AM,623,107,Major Market,Central,27,1,Herbal Tea,Lemon,$68,190,Illinois,39,Decaf
773,80,120,100,200,95,43.16%,1/1/2012 12:00:00 AM,821,139,Major Market,Central,26,1,Herbal Tea,Mint,$101,234,Illinois,38,Decaf
217,40,70,50,110,54,39.55%,1/1/2012 12:00:00 AM,456,80,Major Market,Central,15,1,Tea,Darjeeling,$53,134,Illinois,27,Regular
708,60,90,40,150,72,30.00%,1/1/2012 12:00:00 AM,558,108,Major Market,Central,23,1,Tea,Earl Grey,$54,180,Illinois,54,Regular
319,10,30,20,40,18,24.44%,1/1/2012 12:00:00 AM,821,27,Small Market,Central,5,1,Coffee,Amaretto,$11,45,Iowa,16,Regular
641,20,40,20,60,28,8.06%,1/1/2012 12:00:00 AM,965,34,Small Market,Central,8,1,Coffee,Colombian,$5,62,Iowa,29,Regular
712,20,30,20,50,23,22.22%,1/1/2012 12:00:00 AM,623,31,Small Market,Central,7,1,Coffee,Decaf Irish Cream,$12,54,Iowa,19,Decaf
563,10,40,30,50,17,25.58%,1/1/2012 12:00:00 AM,777,26,Small Market,Central,4,1,Espresso,Caffe Mocha,$11,43,Iowa,15,Regular
563,10,40,30,50,17,23.26%,1/1/2012 12:00:00 AM,777,26,Small Market,Central,4,1,Espresso,Decaf Espresso,$10,43,Iowa,16,Decaf
641,200,280,200,480,234,37.00%,1/1/2012 12:00:00 AM,1310,312,Small Market,Central,77,1,Herbal Tea,Chamomile,$202,546,Iowa,110,Decaf
